,id,segment_id,title,caption_segment,sentiment
15,z9NqnZ047PA,z9NqnZ047PA_3,Police give update on London Bridge incident | USA TODAY,the public however I can confirm at this time we believe a device that was strapped to the body of the suspect because a Hope's explosive device officers continue to carry out meticulous searches in the area to ensure there is no outstanding threat to the public those expensive Holdings will remain in place for a considerable time and I'm going to ask the public please continue to avoid the area public safety is obviously our top priority we will be enhancing police patrols both in the city and across London I would ask anyone with information image or footage,-1
16,z9NqnZ047PA,z9NqnZ047PA_4,Police give update on London Bridge incident | USA TODAY,of the incident that can be shared with our investigation team to do so on the UK police image appeal website I would also ask the public to continue to remain vigilant and report any concerns that they have and now I would ordinarily take questions I'm not going to take questions at this time the Prime Minister has asked for the personal briefing we'll be having with the Finnish government to demonstrate immediately thank you for your patience we will update you again when we go [Music] you you,-1
17,730cVfUC_8w,730cVfUC_8w_1,Live: Met Police issue statement on London Bridge incident | ITV News,ladies and gentlemen thank you for coming my name is Neel Basu I'm the assistant commissioner for specialist operations in the Met I can confirm that at approximately 2:00 p.m. today Friday the 29th of November police were called to a stabbing at a premises near to London Bridge ec 1 emergency services attended including officers from the City of London police and the Metropolitan Police and male suspect was shot by specialist armed officers from the City of London place and I can confirm that this suspect died at the scene a number of other people received injuries during,1
18,730cVfUC_8w,730cVfUC_8w_2,Live: Met Police issue statement on London Bridge incident | ITV News,this incident as soon as we can provide further updates on their condition we will and our heartfelt sympathies go out to everybody who's been involved in this and is anxiously waiting for information on their loved ones as soon as we can get that information we will get it to you as you would expect due to the nature of the incident we responded as though this was terrorist related I'm now in a position to confirm that it has been declared a terrorist incident we are working jointly with the city of London police as we continue to,1
19,730cVfUC_8w,730cVfUC_8w_3,Live: Met Police issue statement on London Bridge incident | ITV News,respond officers from the Metz counterterrorism command are now leading this investigation but I must stress we retain an open mind as to any motive it would be inappropriate to speculate further at this time due to reports that the suspect may have had an explosive device specialist officers also attended the same and wide cordons are in place to ensure there remains no further danger to the public however I can confirm at this time we believe a device that was strapped to the body of the suspect is a hoax explosive device officers continue to carry out meticulous,1
20,730cVfUC_8w,730cVfUC_8w_4,Live: Met Police issue statement on London Bridge incident | ITV News,searches in the area to ensure there is no outstanding threat to the public those extensive Corden's will remain in place for a considerable time and I would ask the public please continue to avoid the area public safety is obviously our top priority we will be enhancing police patrols both in the city and across London I would ask anyone with information image or footage of the incident that can be shared with our investigation team to do so on the UK police image appeal website I would also ask the public to continue to remain vigilant and report,-1
21,730cVfUC_8w,730cVfUC_8w_5,Live: Met Police issue statement on London Bridge incident | ITV News,any concerns that they have to the police I know I would ordinarily take questions I'm not going to take questions at this time the Prime Minister has asked for a personal briefing and I'll be heading with the Commissioner of the Met to Downing Street immediately thank you for your patience we will update you again when we can,-1
22,f3kZkBRQgJU,f3kZkBRQgJU_1,"Live: Brigadier R Krishna, Brigadier P Acharya address Press Conference",AI enable quadcopters and other surveillance devices were employed to keep a strict vigil in the garden area troops come in search at zero 200 hours on the 8th of January the search was deliberate as the area was not just undulating with dense undergrowth but also heavily mined in the search so far two bodies have been recovered with weapons magazines ammunition and other warlike Stars the Army has recovered one AK-47 rifle one modified ak-56 rifle one Chinese pistol two Chinese hand grenades two heavy high explosive IED devices and one mobile phone search operations still continue the,-1
23,f3kZkBRQgJU,f3kZkBRQgJU_2,"Live: Brigadier R Krishna, Brigadier P Acharya address Press Conference",Indian army continues to remain alert on the line of control to counter any attempt by chemical forces to disturb the peace and Harmony in the region thank you foreign so well yes statement or press release [Music],-1
24,15E8WhEA1HY,15E8WhEA1HY_1,British police confirm London Bridge attack was terror-related,ladies and gentlemen thank you for coming and there's no classy on this I can confirm that other pricks medley 2:00 p.m. today Friday the 29th of November police were called to a stabbing at a premises near to London Bridge ec one emergency services attended including officers from the city of London police a male suspect was shot by specialists and officers from the city of London police and I can confirm that this suspect died at the scene a number of other people received injuries during this incident as soon as we can provide further updates on their,1
25,15E8WhEA1HY,15E8WhEA1HY_2,British police confirm London Bridge attack was terror-related,condition we will and our heartfelt sympathies go out to everybody who's been involved in this and is anxiously waiting for it to measure on their loved ones as soon as we can get that information we will get it to you as you would expect due to the nature of the incident we responded as though this was terrorist related I'm now in a position to confirm that it has been declared a terrorist incident we are working jointly with the city of London police as we continue to respond officers from the Metz counterterrorism command are now leading,1
26,15E8WhEA1HY,15E8WhEA1HY_3,British police confirm London Bridge attack was terror-related,this investigation but I must stress we retain an open mind as to any motive it would be inappropriate to speculate further at this time due to reports that the suspect may have had an explosive device specialist officers also attended the scene and wide Corden's are in place to ensure there remains no further danger to the public however I can confirm at this time we believe a device that was strapped to the body of the suspect is a hoax explosive device officers continue to carry out particular searches in the area to ensure there is no outstanding,1
27,15E8WhEA1HY,15E8WhEA1HY_4,British police confirm London Bridge attack was terror-related,threat to the public those extensive portent will remain in place for a considerable time and I would have asked the public police continue to avoid the area public safety is obviously our top priority we will be enhancing police patrols within the city and across London I would ask anyone with information image or footage of the incident that can be shared with our investigation team to do so on the UK at least image appeal website I would also ask the public to continue to remain vigilant and report any concerns that they have - I know I,-1
28,15E8WhEA1HY,15E8WhEA1HY_5,British police confirm London Bridge attack was terror-related,ordinarily take questions I'm not going to take questions at this time Prime Minister has asked for a personal briefing to demonstrate aging thank you very much we will update you again when we go yep yes is not here at them you,-1
29,DNpfhT1CZWo,DNpfhT1CZWo_1,Congress Briefs The Media Post Pulwama Terror Attack #BQ,this acceleration and wage growth in the US and a pickup and inflation and what was happening in fiscal stimulus was going to give us upside risks to these forecasts moving into 2019 it needs to be to transact their own kamala Mauna Kea Kea dish in Shizuoka Pulteney applicants eval know many bula this is the time of morning to the time of sadness this is a time of respect we are fully supporting the government of India and our security forces we are not going to get into any conversation other than the fact that our most beloved,-1
30,DNpfhT1CZWo,DNpfhT1CZWo_2,Congress Briefs The Media Post Pulwama Terror Attack #BQ,people have been killed their families need us and we are going to stand with them there is going to be no other discussion as far as I am concerned from the Congress party over the next couple of days on this matter we are going to be supporting our security forces and our government I don't want to get into I don't want to get into these comments I'm very clear I'm hurt every single Indian person is hurt hamara dil mature poetry hey aur hum am ia Jew security forces K look okay Perry Manos you make an,-1
31,DNpfhT1CZWo,DNpfhT1CZWo_3,Congress Briefs The Media Post Pulwama Terror Attack #BQ,urgent oh okay but choose to make an H R tau will keep my Manos to make an auto key hum aapke South Korea or tomorrow memory Puri Shakti opposite I've said I would I have said that I will support the government we will support the government and we are not going to get into you know these conversations right now this is not the time or place but we will support the government in its actions [Music],-1
32,Mro8ED4kZx0,Mro8ED4kZx0_1,"Labour Rape Cover-up Allegation, New York Terror Attack &amp; &quot;Colossal&quot; EU Bill - 01.11.17","good morning welcome to headline focus here live on core politics with me Rob double it's the first of the month Wednesday the first of November 2017 and let's have a look at what's making the news so to start off with in the FT No Deal and customs staff now according to facts from a ministers briefing on the staffing of any breaks it outcome in the cabinet earlier this week up to 5,000 new custom officials will be needed in the event of a No Deal on top of the additional 3,000 extra hires which are already happening",1
33,Mro8ED4kZx0,Mro8ED4kZx0_2,"Labour Rape Cover-up Allegation, New York Terror Attack &amp; &quot;Colossal&quot; EU Bill - 01.11.17",within the government also this ties into the government's pressure to reveal the reports that it made regarding several sectors as to what would be the impact of a no deal and the impact of breaks it the government compiled all these reports over the past year and have not published them publicly they say it's full preparation for negotiations obviously critical critics would say it's necessary for everyone to understand what the implications of briggsie is going to be next up also following the EU route if we have a look at the Express EU paid UK paid the,1
34,Mro8ED4kZx0,Mro8ED4kZx0_3,"Labour Rape Cover-up Allegation, New York Terror Attack &amp; &quot;Colossal&quot; EU Bill - 01.11.17",EU thirteen point nine billion pounds last year for the membership of the EU membership of the bloc which the Express is saying was a colossal sum and justifies brigs it campaigners confirmation of the need to cut ties ASAP the dispute about what the actual contributing fund of the UK is the EU it's it's pretty disputed we've always said is about 10 billion pounds but here thirteen point nine billion obviously three not point nine billion pounds over that figure according to the Express notes we can focus there at the main story which is again following these,1
35,Mro8ED4kZx0,Mro8ED4kZx0_4,"Labour Rape Cover-up Allegation, New York Terror Attack &amp; &quot;Colossal&quot; EU Bill - 01.11.17",horrific allegations regarding sexual harassment and sexual assault in Westminster it gets goes a step further however as you can see in the Telegraph and The Guardian which we are leading with her labor official told party activists not to report rape now a party the lady who's called Beck's Bailey is 25 years old now claimed party officials hushed up a rape her rape as a young activist when she was 19 years old she says senior Labor figures told her not to report the attack or otherwise it could risk damaging her political career in the future this,1
36,Mro8ED4kZx0,Mro8ED4kZx0_5,"Labour Rape Cover-up Allegation, New York Terror Attack &amp; &quot;Colossal&quot; EU Bill - 01.11.17",is a provoked Jeremy Corbyn to order an immediate investigation into the allegations but it she's not the only one who's come forward as you can see in The Guardian West Minister shaken by two new claims of sexual assaults the second one was another woman who says that she was assaulted on a hotel bed by an MP - so these are allegations so far nothing has been confirmed but certainly now the Labour Party is coming under fire for its behavior and also is reaction to complaints and behavior - regarding sexual assault and indeed rape and sexual,1
37,Mro8ED4kZx0,Mro8ED4kZx0_6,"Labour Rape Cover-up Allegation, New York Terror Attack &amp; &quot;Colossal&quot; EU Bill - 01.11.17",harassment as well well more story then coming from them from over across the pond in New York again a very sad story the Daily Mirror was the main story to cover it on the front pages but as you can see many of the other papers it was in the pictures as well at least eight people have been killed in New York as a truck cycle mowed down people on a cycle path that may predominantly cyclists on a cycle path the mirror saying that the killer crashed into a school bus got out of the vehicle brandishing,1
38,Mro8ED4kZx0,Mro8ED4kZx0_7,"Labour Rape Cover-up Allegation, New York Terror Attack &amp; &quot;Colossal&quot; EU Bill - 01.11.17",two guns not that much more is known currently or at least is confirmed regarding the situation the person involved the motive but check your internet for news feed if you want to find out more I'm sure there's going to be a lot more coming out as America wakes up again in a few hours time but that's pretty much it you're upstate today don't forget you can find all the latest on what we're doing here on call politics on our Facebook page and on Twitter right here but from me rob double and all the team here at core London have a fantastic start your November,-1
39,XdjyCsXqo4U,XdjyCsXqo4U_1,"Christmas Terror Plot Foiled, Sex Crime Investigation &amp; Council Tax Hike",good morning welcome to headline focus here live on core politics with me Rob double it is Wednesday the 20th of December 2007 look at what's making the news so just sort of with in the Daily Mail and the Express Merry Christmas have a tax hike now that's their reporting that average households face a council tax rise of one hundred and sixteen pounds a year as caps and local authority budgets have been lifted by the community's secretary Savage Javad now what does this mean this basically means that councils will now be allowed to raise bills by,-1
40,XdjyCsXqo4U,XdjyCsXqo4U_2,"Christmas Terror Plot Foiled, Sex Crime Investigation &amp; Council Tax Hike",an extra 1% on top of the agreed maximum increase in tax rates of 5% now it will be the biggest single increase yearly increase in council tax since 2003 and 4 so something to look forward to this Christmas at least next up in the Financial Times and city I am a financial story and you're quite fantastic front page as you can see in City I am on the top left of your screen pick up one of those to have a read of of the story there British investment banks will still have to follow EU rules,-1
41,XdjyCsXqo4U,XdjyCsXqo4U_3,"Christmas Terror Plot Foiled, Sex Crime Investigation &amp; Council Tax Hike",on issues such as bonus caps after Briggs it now this is cording to the European Commission they've set out proposals by which financial centers outside of the EU but with European clients will still be under tougher scrutiny particularly over the issues of bonuses but as with everything this is just a European Commission position this isn't the official negotiating position of the EU but and it also is not the final deal which has been agreed between the UK and the EU this is just a speculative proposal effectively by the Commission so don't take it as literal,-1
42,XdjyCsXqo4U,XdjyCsXqo4U_4,"Christmas Terror Plot Foiled, Sex Crime Investigation &amp; Council Tax Hike",and as red take it as a negotiation point which still needs to be thrashed out in a few months time Lester can focus through the main story in the Telegraph and also in The Guardian today and this is to do with again the sex trial sex sex assault sex crime trials and the revelations that have happened this week Scotland large view reviewing all its ongoing sex crime investigations after two classic cases collapsed in the last week alone so as you can see in The Daily Telegraph a yard to review all rape cases this is after,1
43,XdjyCsXqo4U,XdjyCsXqo4U_5,"Christmas Terror Plot Foiled, Sex Crime Investigation &amp; Council Tax Hike",justice secretary Deborah Littleton is reported as saying that police and prosecutors should not be chasing targets but should ask themselves if the evidence is sufficient now the Guardian is also saying that that that it could be a potential huge embarrassment for the Met Police but also the Crown Prosecution Service after revelations particularly over this week and what happen to that male student have a couple of days ago have a look at the headline folks from a couple days ago if you want to get clued up on that story it's very very a significant I think,1
44,XdjyCsXqo4U,XdjyCsXqo4U_6,"Christmas Terror Plot Foiled, Sex Crime Investigation &amp; Council Tax Hike",in what's happening right now one more story then coming from the Sun and also in the mirror as well terror plot foiled reports on dawn raids in Sheffield Chesterfield and Derbyshire the mayor said four men were arrested in Yorkshire and Derbyshire in connection with an imminent Christmas terror attack police action against an alleged terror plot that's the story they've got to have a look at those if you're interested in reading more again not a particularly optimistic start to the holiday season but a very important story nonetheless that's pretty much it for today you're up-to-date don't,-1
45,XdjyCsXqo4U,XdjyCsXqo4U_7,"Christmas Terror Plot Foiled, Sex Crime Investigation &amp; Council Tax Hike",forget you can find all the latest and what we're doing here on call politics on our Facebook page and on Twitter right here but for me and all the team here at core London have a fantastic start to a day,-1
46,ukYAM3U58fk,ukYAM3U58fk_1,"Trump threats N.Korea, Online Terrorism Clampdown, May/Johnson call Truce - Headline Focus 20.09.17",welcome to headline focus here live on core politics with me rob double it is wednesday the 20th of september 2017 and with the time about 11 minutes before the start of the working day let's have a look at what's making the news so first up the mail online propaganda clampdown that's according to uh theresa may it's reasonable one warn tech giants google and facebook they will face punishing fines unless they remove terrorist propaganda within two hours of it coming onto their platforms coming on to the online sphere this is a problem to do with terrorism,1
47,ukYAM3U58fk,ukYAM3U58fk_2,"Trump threats N.Korea, Online Terrorism Clampdown, May/Johnson call Truce - Headline Focus 20.09.17",and the spread of terrorism online and also the organizing of terrorism online through platforms such as google such as facebook and also encrypted platforms such as whatsapp as well this is at a summit in new york there's where he's still in new york after uh her appearance at the un uh the ramil is reporting her patience is running out over the failure to clamp down on jihadist group using online platforms that's in the mail pick up a copy of that if you're interested in reading more next up drugs legalized and the question's been posed again,1
48,ukYAM3U58fk,ukYAM3U58fk_3,"Trump threats N.Korea, Online Terrorism Clampdown, May/Johnson call Truce - Headline Focus 20.09.17",and opened up due to prince william the duke of cambridge he asked a group of people on a visit to spitalfield's crypt trust which is a charity that deals with people with drug addictions he asked them what their thought of the idea of drugs being legalized and this is rather captured the imagination of many of the newspapers a lot of them are covering it on their front pages or inside uh their papers today a royal aide's been quoted by the times as saying uh that for a big issue a big issue such as this prince,-1
49,ukYAM3U58fk,ukYAM3U58fk_4,"Trump threats N.Korea, Online Terrorism Clampdown, May/Johnson call Truce - Headline Focus 20.09.17",william believes it is important not to talk about it in an abstract but ask of and listen to those who are affected uh that's in the times also in a large number of other papers though you'll probably see if you pick up any paper today let's look in focus then at the main story which is trump at the united nations now donald trump gave his speech to united nations general assembly yesterday didn't hold back as was probably predicted or most people would predict targeting kim yong-un and north korea now this is really what makes the,-1
50,ukYAM3U58fk,ukYAM3U58fk_5,"Trump threats N.Korea, Online Terrorism Clampdown, May/Johnson call Truce - Headline Focus 20.09.17",front pages today as you can see on my uh left and also most of the front pages to be honest with you today he said uh of kim jong-un he's a rocket man on a suicide mission he called the righteous nations of the world to confront north korea and indeed other rogue states also not holding back criticizing venezuela and iran calling iran wicked evil and also denouncing venezuela's pure socialist agenda which is damaging and harming their citizens the guardian's response to the speech where they said the speech was greeted at the un chamber mostly with,1
51,ukYAM3U58fk,ukYAM3U58fk_6,"Trump threats N.Korea, Online Terrorism Clampdown, May/Johnson call Truce - Headline Focus 20.09.17",silence and occasional outbreaks of disapproving murmurs as trump's cascaded a succession of hostile regimes the express though again picking up on the north korea angle mr trump warned the u.s might have no choice but to totally destroy north korea one more story then this is back into uk politics theresa may and boris johnson as you probably known from the previous headline focuses had a bit of had a bit of a spat this week they've apparently now made peace there is now a political truce between the two uh this was secured over the uk's future payments,-1
52,ukYAM3U58fk,ukYAM3U58fk_7,"Trump threats N.Korea, Online Terrorism Clampdown, May/Johnson call Truce - Headline Focus 20.09.17",to the eu the telegraph is reporting that the d involves paying substantial sums to the eu at least until at least 2020 but no further payments after britain's transition period ends so that's to look forward to a bit of stability in government uh so far and in the near future so it seems that's pretty much it for today you're up to date don't forget you can find all the latest on what we're doing on here on core politics on our facebook page and on twitter but from me here in london have a fantastic start your wednesday,-1
53,NLAhfPAc1is,NLAhfPAc1is_1,"Militants attack on CRPF in Jammu &amp; Kashmir&#39;s, Awantipora | LIVE J&amp;K",of course a dastardly deadly terror attack rocking India last evening taking place in Pulwama in Jammu and Kashmir you Ingush what has been Germany's reaction the German Foreign Ministry quickly reacted to the incident that entrance saying the Germany condemns terrorism in all its forms and that it stands by its strategic partner India we are now in the southern German city of Munich where there's a very big security conference taking place and although the situation in the region is not part of the reform programme you can obviously imagine that politicians that are meeting right here maybe,1
54,NLAhfPAc1is,NLAhfPAc1is_2,"Militants attack on CRPF in Jammu &amp; Kashmir&#39;s, Awantipora | LIVE J&amp;K",in their private conversations are discussing the situation that you mentioned and what exactly can one of the key areas in the world and you can only imagine that right here in Munich where we are discussing all these issues they will also be addressing the topics that you mentioned well that's quite pertinent that you're pointing out that there is a terrorist and anti-terror summit taking place there in Munich we are reporting from Thomas what really are the core agendas of that summit where you're standing what have been the deliberations so far is one of the points,1
55,NLAhfPAc1is,NLAhfPAc1is_3,"Militants attack on CRPF in Jammu &amp; Kashmir&#39;s, Awantipora | LIVE J&amp;K",that is being addressed also how to clamp down upon terror states like Pakistan countries which keeps safe haven to terror groups is that also on the agenda what really are the talking points as I supporting from what well this is a very big summit it is described as the largest security summit in the world there are around 35 heads of state and government here around 80 foreign and defence ministers about 600 security experts they discussed they're discussing a wide variety of topics not only the topics in your region for example but they're also discussing situation,-1
56,NLAhfPAc1is,NLAhfPAc1is_4,"Militants attack on CRPF in Jammu &amp; Kashmir&#39;s, Awantipora | LIVE J&amp;K",in the Middle East or in Africa or in some cases for example also the vacuum in the leadership in the International aspects that are being discussed here there's a big delegation from the United States as a big delegation from from China and leaders from different parts of the world well you mentioned correctly that terrorism is one of the issues that is being discussed right here in unique but it's not only the issue of terrorism that is important there discussing cybersecurity for example or how climate change can affect security as well in different parts of the,1
57,NLAhfPAc1is,NLAhfPAc1is_5,"Militants attack on CRPF in Jammu &amp; Kashmir&#39;s, Awantipora | LIVE J&amp;K",world and then specifically some of the crises in various regions so you can see a wide variety of topics actually here take and that includes not only the official program that I've been describing but also many meetings on the sidelines private meetings for example between different leaders they say you can clearly expect specifically in those private meetings that the,-1
58,rPI20HOk-wE,rPI20HOk-wE_1,LIVE: Latest in the Manchester terror attack,five days after this we will be in a position to formally name the victims in line with guidance from the coroner I would also like to confirm that we have spoken to all of the families of those that lay injured in our hospitals and of course we are doing all we can to support all of them - you will be aware that the level of activity in this investigation is intense and is continuing at a fast pace we have made three further arrests in connection with attacks overnight and this afternoon rented an address in Manchester,1
59,rPI20HOk-wE,rPI20HOk-wE_2,LIVE: Latest in the Manchester terror attack,City center using a controlled explosion officers that are currently at the scene searching that address but in order to execute that entry we did have to close a mainline railway line for a short period but this now has reopened as we continue those searches so that brings the total number of people in custody currently to four people across Greater Manchester we'll have seen a significant increase in the number of armed officers on mobile control and at static points across the city we have been supported by forces from across the northwest and beyond and this forms,-1
60,rPI20HOk-wE,rPI20HOk-wE_3,LIVE: Latest in the Manchester terror attack,part of our well well tried and tested planners for any major terrorist attack obviously with the announcement from the Prime Minister last night of the increase in the threat level to critical you will be aware that the military are supporting policing across the country under the codename operation Templar this is about the military being used to guard iconic sites and other sites outside of London and across parts of the north this freezer armed police officers to then give the police service capacity to deploy them to places like Manchester as part of our plans for keeping,1
61,rPI20HOk-wE,rPI20HOk-wE_4,LIVE: Latest in the Manchester terror attack,the country safe what a would confirm is that there are no military personnel patrolling the streets of Greater Manchester nor are there any plans for that to happen at this time the armed police that is now available throughout the rest of the country is being used to supplement my armed officers here in Manchester and in particular is enabling us to work to make sure that the planned Manchester games and the 10k run go ahead at this weekend we obviously had significant plans in place with event organisers and Manchester City Council around those annual events we're,-1
62,rPI20HOk-wE,rPI20HOk-wE_5,LIVE: Latest in the Manchester terror attack,now obviously reviewing those plans with organizers and with the City Council in light of this week's attack to make sure that we can allow them to go ahead in a safe and environment as possible so I am happy to take a couple of questions at this point it's the opposite we found of London back during as I said we are carrying out extensive searches of premises across Manchester but it would be ill-advised of me to comment on the investigation for that I'll put that bomb together and are you searching for that person is this a,1
63,rPI20HOk-wE,rPI20HOk-wE_6,LIVE: Latest in the Manchester terror attack,search now for a bomb meeting I think it's very clear that this is a network that we are investigating and as I've said it continues at a pace there's extensive investigations going on and activity taking place across Greater Manchester as we speak so thank you very much ladies back to the police however it is very clear,-1
64,Jmu_Z5B9Xys,Jmu_Z5B9Xys_1,Jack Keane - Classifying Drug Cartels as Terrorist Groups - The Guy Gordon Show,well so you're saying because it's so corrupt it won't work Bill Barr the former Attorney General who you're certainly well familiar with says that's the very reason why we need to intercede there cut four please Mike the Mexican Government is being held hostage by tens of thousands of paramilitary members of terrorist organizations that effectively control Mexico it's pretty close at this stage to a failed Narco State they can use violence and oceans of cash to corrupt uh the government the government has no will and it doesn't have the ability to deal with the cartels and,1
65,Jmu_Z5B9Xys,Jmu_Z5B9Xys_2,Jack Keane - Classifying Drug Cartels as Terrorist Groups - The Guy Gordon Show,he seems to be saying that's why we need to do it ourselves Senator Graham went on to say that we should use the U.S military if necessary it sounds like he's more of a carrot and stick and so is Bill Barr but he says if necessary that's not a very well-defined rule of Engagement how worried are you that we're kind of Leaping into this without a very defined objective and goal and defined Rules of Engagement without the cooperation of the government itself its military and its uh Judicial System it's not it's likely not to have,-1
